Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-11 06:15:00.000,2024-01-11 06:19:00.000,2024-01-11 06:26:00.000,C7.8,696.99348,265.806186
2024-01-11 08:07:00.000,2024-01-11 08:20:00.000,2024-01-11 08:42:00.000,C4.1,0.0,69.997626
2024-01-11 08:54:00.000,2024-01-11 09:01:00.000,2024-01-11 09:10:00.000,C6.4,0.0,70.056708
2024-01-11 10:02:00.000,2024-01-11 10:09:00.000,2024-01-11 10:14:00.000,C3.0,0.0,70.142148
2024-01-11 10:31:00.000,2024-01-11 10:42:00.000,2024-01-11 10:50:00.000,C3.9,0.0,70.178568
2024-01-11 11:24:00.000,2024-01-11 11:34:00.000,2024-01-11 11:39:00.000,C4.2,0.0,70.245108
2024-01-11 11:58:00.000,2024-01-11 12:09:00.000,2024-01-11 12:25:00.000,C9.4,0.0,70.28778
2024-01-11 12:44:00.000,2024-01-11 12:51:00.000,2024-01-11 12:55:00.000,M1.3,0.0,70.345488
2024-01-11 15:59:00.000,2024-01-11 16:11:00.000,2024-01-11 16:18:00.000,C3.6,0.0,70.589862
2024-01-11 16:18:00.000,2024-01-11 16:32:00.000,2024-01-11 16:43:00.000,C6.4,0.0,70.613652
2024-01-11 16:43:00.000,2024-01-11 16:46:00.000,2024-01-11 16:50:00.000,C8.3,0.0,70.644948
2024-01-11 17:49:00.000,2024-01-11 17:52:00.000,2024-01-11 17:59:00.000,M1.5,0.0,70.727532
2024-01-11 18:57:00.000,2024-01-11 19:04:00.000,2024-01-11 19:08:00.000,C3.3,0.0,70.81257
2024-01-12 02:55:00.000,2024-01-12 02:58:00.000,2024-01-12 03:02:00.000,M1.0,-318.478326,365.529228
2024-01-12 04:10:00.000,2024-01-12 04:15:00.000,2024-01-12 04:19:00.000,C6.0,0.0,71.502216
2024-01-12 06:08:00.000,2024-01-12 06:15:00.000,2024-01-12 06:22:00.000,C3.8,-745.96392,230.260842
2024-01-12 06:23:00.000,2024-01-12 06:28:00.000,2024-01-12 06:33:00.000,C4.4,0.0,71.66757
2024-01-12 08:14:00.000,2024-01-12 08:20:00.000,2024-01-12 08:24:00.000,C3.7,0.0,71.80542
2024-01-12 09:59:00.000,2024-01-12 10:06:00.000,2024-01-12 10:11:00.000,C5.9,0.0,71.935692
2024-01-12 11:03:00.000,2024-01-12 11:15:00.000,2024-01-12 11:36:00.000,C3.9,219.670878,-301.107414
2024-01-12 11:36:00.000,2024-01-12 11:42:00.000,2024-01-12 11:51:00.000,C3.8,0.0,72.055926
2024-01-12 15:32:00.000,2024-01-12 15:38:00.000,2024-01-12 15:53:00.000,C3.2,0.0,72.348018
2024-01-13 04:14:00.000,2024-01-13 04:21:00.000,2024-01-13 04:25:00.000,C2.7,0.0,73.28679
2024-01-14 00:12:00.000,2024-01-14 00:22:00.000,2024-01-14 00:29:00.000,C4.2,0.0,74.74917
2024-01-14 01:35:00.000,2024-01-14 01:38:00.000,2024-01-14 01:42:00.000,C2.0,0.0,74.849868
2024-01-14 02:49:00.000,2024-01-14 02:56:00.000,2024-01-14 03:08:00.000,C2.0,0.0,74.939574
2024-01-14 04:25:00.000,2024-01-14 04:34:00.000,2024-01-14 05:03:00.000,C1.9,0.0,75.05586
2024-01-14 06:58:00.000,2024-01-14 07:19:00.000,2024-01-14 07:27:00.000,C2.6,0.0,75.24096
2024-01-14 07:27:00.000,2024-01-14 07:30:00.000,2024-01-14 07:35:00.000,C2.8,0.0,75.276012
2024-01-14 11:09:00.000,2024-01-14 11:19:00.000,2024-01-14 11:30:00.000,C2.7,0.0,75.544026
2024-01-14 11:30:00.000,2024-01-14 12:06:00.000,2024-01-14 12:26:00.000,C9.6,0.0,75.569346
2024-01-14 13:00:00.000,2024-01-14 13:08:00.000,2024-01-14 13:16:00.000,C7.2,0.0,75.677808
2024-01-14 16:54:00.000,2024-01-14 17:01:00.000,2024-01-14 17:07:00.000,C5.8,0.0,75.959364
2024-01-15 02:17:00.000,2024-01-15 02:26:00.000,2024-01-15 02:31:00.000,C2.1,0.0,76.634088
2024-01-15 05:19:00.000,2024-01-15 05:23:00.000,2024-01-15 05:28:00.000,C1.6,0.0,76.85139
2024-01-15 08:53:00.000,2024-01-15 09:00:00.000,2024-01-15 09:11:00.000,C1.7,0.0,77.106384
2024-01-15 13:54:00.000,2024-01-15 14:05:00.000,2024-01-15 14:11:00.000,C2.8,0.0,77.464104
2024-01-15 18:39:00.000,2024-01-15 18:44:00.000,2024-01-15 18:51:00.000,C2.0,0.0,77.801784
2024-01-15 19:24:00.000,2024-01-15 19:33:00.000,2024-01-15 19:57:00.000,C1.9,0.0,77.855016
2024-01-16 03:21:00.000,2024-01-16 03:30:00.000,2024-01-16 03:40:00.000,C2.4,0.0,78.417696
2024-01-16 08:04:00.000,2024-01-16 08:09:00.000,2024-01-16 08:14:00.000,C1.5,0.0,78.750198
2024-01-17 07:17:00.000,2024-01-17 07:24:00.000,2024-01-17 07:28:00.000,C2.6,0.0,80.372286
2024-01-17 13:47:00.000,2024-01-17 13:56:00.000,2024-01-17 14:04:00.000,C2.3,0.0,80.822034
2024-01-17 16:57:00.000,2024-01-17 17:08:00.000,2024-01-17 17:22:00.000,C2.4,0.0,81.040434
2024-01-18 03:35:00.000,2024-01-18 03:46:00.000,2024-01-18 03:55:00.000,C2.7,0.0,81.770424
2024-01-18 03:59:00.000,2024-01-18 04:08:00.000,2024-01-18 04:17:00.000,C5.4,0.0,81.797784
2024-01-18 05:04:00.000,2024-01-18 05:18:00.000,2024-01-18 05:27:00.000,C2.5,0.0,81.871842
2024-01-18 10:05:00.000,2024-01-18 10:14:00.000,2024-01-18 10:28:00.000,C3.0,0.0,82.214064
2024-01-18 14:42:00.000,2024-01-18 14:49:00.000,2024-01-18 14:59:00.000,C1.6,0.0,82.527966
2024-01-19 01:46:00.000,2024-01-19 01:53:00.000,2024-01-19 01:58:00.000,C1.8,0.0,83.276328
2024-01-20 02:51:00.000,2024-01-20 02:58:00.000,2024-01-20 03:02:00.000,C1.7,0.0,84.950958
2024-01-20 03:33:00.000,2024-01-20 03:41:00.000,2024-01-20 03:49:00.000,B9.5,0.0,84.99726
2024-01-20 05:15:00.000,2024-01-20 05:22:00.000,2024-01-20 05:24:00.000,B8.5,0.0,85.109604
2024-01-20 05:24:00.000,2024-01-20 05:28:00.000,2024-01-20 05:32:00.000,B9.6,0.0,85.119504
2024-01-20 05:36:00.000,2024-01-20 05:41:00.000,2024-01-20 05:47:00.000,B9.6,0.0,85.132716
2024-01-20 08:35:00.000,2024-01-20 09:34:00.000,2024-01-20 10:32:00.000,C3.5,0.0,85.329474
2024-01-20 12:49:00.000,2024-01-20 12:53:00.000,2024-01-20 12:57:00.000,C1.7,0.0,85.607934
2024-01-20 13:49:00.000,2024-01-20 13:58:00.000,2024-01-20 14:05:00.000,C1.7,0.0,85.673586
2024-01-20 14:21:00.000,2024-01-20 14:34:00.000,2024-01-20 14:43:00.000,C5.2,0.0,85.708578
2024-01-20 18:17:00.000,2024-01-20 18:26:00.000,2024-01-20 18:34:00.000,C1.5,0.0,85.96623
2024-01-21 00:03:00.000,2024-01-21 00:27:00.000,2024-01-21 00:35:00.000,C4.0,0.0,86.342598
2024-01-21 00:35:00.000,2024-01-21 00:41:00.000,2024-01-21 00:55:00.000,C5.3,0.0,86.37732
2024-01-21 01:57:00.000,2024-01-21 02:02:00.000,2024-01-21 02:11:00.000,C6.3,-495.5712,476.519178
2024-01-21 07:39:00.000,2024-01-21 07:44:00.000,2024-01-21 07:48:00.000,C2.2,0.0,86.836116
